post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Clayton Bay Beach Rest Area,,,,,Australia,,-35.49667,138.92361,,,,,,,,,,,,
Clayton Station,,,,,Australia,,-29.27694,138.38167,,,,,,,,,,,,
Cleaverville Beach,,,,,Australia,,-20.66111,116.99806,,,,,,,,,,,,
Clem Walton Park & Corella Dam,,,,,Australia,,-20.82667,140.04889,,,,,,,,,,,,
Cleve Showgrounds,Cleve Show Society,,,,Australia,,-33.70083,136.49056,,,,yes,yes,,,yes,yes,,yes,yes
Cloudy Corner Campground,Parks and Wildlife,,,,Australia,,-43.4661988,147.2521889,,,,,no,,,,,,yes,yes
Clover Flat Rest Area,,,,,Australia,,-36.0725,148.21722,,,,yes,no,,,,,,,
Clybucca Bp Roadhouse (permanently closed),,,,,Australia,,-30.938291,152.9421598,,,,,,,,,,,,
Coach & Horses Campground,,,,,Australia,,-31.45639,143.82694,,,,,,,,,,,,
Coalfields Road Rest Area,,,,,Australia,,-33.29167,115.94889,,,,,,,,,,,,
Coast Care Project Rest Area,,,,,Australia,,-43.13972,146.97083,,,,,,,,,,,,
Cobb & Co Caravan Park,,,,,Australia,,-26.39556,146.25222,,,,yes,yes,,yes,yes,,,yes,yes
Cobb & Co Nine Mile Campgrounds,,,,,Australia,,-26.2875698,152.7633353,,,https://cobbandcocamping.com.au/,,,,,,,,,
Cobdogla Pump Station,,,,,Australia,,-34.2624796,140.3997744,,,,,,,,,,,,
Cockatoo Lake Reserve,,,,,Australia,,-36.74861,140.58167,,,,,,,,,,,,
Cockburn River Campsite,,,,,Australia,,-31.05194,151.14389,,,,yes,no,,,,,,yes,yes
Cohen Rest Area,,,,,Australia,,-31.860997,132.8638203,,,,no,,,,,,,,
Coleambally Lions Park,,,,,Australia,,-34.79778,145.87944,,,,yes,no,,,,yes,,,
Coleambally Water Ski Club,,,,,Australia,,-34.63111,146.31694,,,,,,,,,,,,
Colebrook History Centre,,,,,Australia,,-42.535,147.36528,,,,,,,,,,,,
Colebrook Tavern,,,,,Australia,,-42.52611,147.35889,,,,,,,,,,,,
Coles Point Campground,,,,,Australia,,-34.36944,135.35389,,,,,,,,,,,,
Collarenebri Primitive Campground,Walgett Shire Council,,,,Australia,,-29.5482878,148.5815786,,,,yes,hot,,,,yes,,yes,yes
Colligans Campground,,,,,Australia,,-34.2536167,140.6981698,,,,,,,,,,,,
Columboola Country Caravan Park,,,,,Australia,,-26.54611,150.33111,,,,,,,,,,,,
Combo Waterhole Conservation Park,,,,,Australia,,-21.60111,142.06806,,,,,,,,,,,,
Comboyne Showgrounds,Pay at Community Centre,,,,Australia,,-31.60778,152.46611,,,,yes,yes,,,yes,,,yes,yes
Comeroo Camel Station,,,,,Australia,,-29.24333,145.13972,,,,,,,,,,,,
Comet Bore Campground,,,,,Australia,,-35.743948,140.8014525,,,,,,,,,,,,
Common Beach,,,,,Australia,,-34.55944,145.99222,,,,,,,,,,,,
Conolly's Flat Rest Area,,,,,Australia,,-34.53167,116.00778,,,,no,,,,,,,,
Cookoothama Reserve,,,,,Australia,,-34.5474405,145.9466476,,,,,,,,,,,,
Cooks Hut Campground,,,,,Australia,,-12.70972,143.2925,,,,,,,,,,,,
Cooks Plains,,,,,Australia,,-35.37917,139.55972,,,,,,,,,,,,
Coolabunia Rest Area,,,,,Australia,,-26.5805065,151.8776666,,,,,,,,,,,,
Coomalie Creek Caravan Park,,,,,Australia,,-13.01917,131.12222,,,,,,,,,,,,
Coomalie Creek,,,,,Australia,,-13.01556,131.1225,,,,,,,,,,,,
Coomandook North,,,,,Australia,,-35.45667,139.65861,,,,,,,,,,,,
Coongan Pool,,,,,Australia,,-20.905,119.79028,,,,,,,,,,,,
Coongan River,,,,,Australia,,-20.91528,119.79056,,,,,,,,,,,,
Coongie Lakes Campground,,,,,Australia,,-27.19083,140.15333,,,,,,,,,,,,
Cooper Creek,,,,,Australia,,-25.3703077,142.7460987,,,,yes,no,,,,,,,
Cooper Creek Camp Site,,,,,Australia,,-28.62361,138.71,,,,,,,,,,,,
Coorong Rest Area,,,,,Australia,5264,-36.6213055,139.8766595,,,,no,no,,no,no,no,,no,yes
Copeland Reserve,,,,,Australia,,-31.9725,151.85889,,,,,,,,,,,,
Copeton Dam (Northern Foreshore),,,,,Australia,,-29.89361,150.99722,,,,,,,,,,,,
Copeton Waters State Park,,,,,Australia,,-29.9314901,150.9884767,,,,,,,,,,,,
Copley Town Park,,,,,Australia,,-30.55722,138.42361,,,,,,,,,,,,
Copperfield Dam,,,,,Australia,,-13.845,131.8175,,,,,,,,,,,,
Coramba Recreation Reserve - Overnight,,,,,Australia,,-30.19944,153.01639,,,,,,,,,,,,
Cordola Camping Area,,,,,Australia,,-34.12972,139.665,,,,,,,,,,,,
Corinna Campground,,,,,Australia,,-41.6516127,145.0781109,,,,,,,,,,,,
Cornish (Cobar) Rest Area,,,,,Australia,,-31.49917,145.84472,,,,yes,no,,,,,,,
Corny Point Reserve,,,,,Australia,,-34.89444,137.01472,,,,,,,,,,,,
Unknown,,,,,Australia,,-28.723153,151.8861656,,,,,,,,,,,,
Cowan Downs Rest Area,,,,,Australia,,-18.98667,140.43472,,,,no,,,,,,,,
Coward Springs Campground,,,,,Australia,,-29.4001841,136.8119702,,,,,,,,,,,,
Cowarie Station,,,,,Australia,,-27.70167,138.33556,,,,,,,,,,,,
Cowra Overnight Rest Area,,,,,Australia,,-33.8354156,148.6819701,,,,,,,,,,,,yes
Cracow Hotel,,,,,Australia,,-25.2955128,150.3026083,,,,,,,,,,,,
Cranky Rock Recreation Reserve,Gwydir Shire Council,,,,Australia,,-29.5614856,150.6465365,,,https://visitgwydir.com.au/cranky-rock-recreation-reserve/,yes,yes,,,yes,,,yes,yes
Crayfish Creek Van & Cabin Park,,,,,Australia,,-40.85806,145.39889,,,,,,,,,,,,
Crediton Hall Campground,,,,,Australia,,-21.2056476,148.5462723,,,,,,,,,,,,
Credo Station,,,,,Australia,,-30.46528,120.82722,,,,,,,,,,,,
Crosby Park,,,,,Australia,,-27.90139,152.38694,,,,,,,,,,,,
Croydon Rest Area,,,,,Australia,,-26.77972,148.93417,,,,,,,,,,,,
Cudgegong Waters Caravan Park,,,,,Australia,,-32.81222,149.82333,,,,,,,,,,,,
Cudlee Creek Tavern & Caravan Park,,,,,Australia,,-34.83972,138.81611,,,,,,,,,,,,
Culburra North Rest Area,,,,,Australia,,-35.79694,139.94361,,,,,,,,,,,,
Culcairn Caravan Park,Greater Hume Council,South Street,,NSW,Australia,2660,-35.670842,147.0361607,+61 2 6029 8248,,,yes,yes,,,yes,,,yes,yes
Culgoa River Campground,,,,,Australia,,-29.09778,147.09,,,,,,,,,,,,
Cullyamurra Waterhole,,,,,Australia,,-27.70194,140.8386048,,,https://www.parks.sa.gov.au/booking/details#/accom/73138,,,,,,,,,
Cumberland Mine Historic Site,,,,,Australia,,-18.3013099,143.3506072,,,,yes,no,,,,,,,
Cummins Railway Triangle,,,,,Australia,,-34.26556,135.72583,,,,,,,,,,,,
Cumnock Showgrounds,,,,,Australia,,-32.92861,148.74611,,,,yes,yes,,,yes,yes,,,
Cundle Flat Farm,,,,,Australia,,-31.8125,151.98389,,,,,,,,,,,,
Cunningham Rest Area - Westbound,,,,,Australia,,-28.1700902,151.7320488,,,,yes,no,,,,,,,
Curdimurka Railway Siding,,,,,Australia,,-29.4765933,137.085095,,,,,,,,,,,,
