post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Perch Ponds,,,,,Australia,,-33.7316387,150.568665,,,,no,no,,,,,,yes,no
Murchison House Station,,,,,Australia,,-27.6467241,114.2359561,,,,yes,yes,,yes,no,no,,yes,yes
Windurabundi Beach,,,,,Australia,,-22.4980363,113.7176453,,,,,,,,,,,,
Feathers N Friends,,,,,Australia,,-16.5768755,145.3645303,,,,,,,,,,,,
Catch A Barra,,,,,Australia,,-17.1234638,145.6996613,,,,,,,,,,,,
Edward River Bridge Campsite 3,,,,,Australia,,-35.8092543,144.9614587,,,,,,,,,,,,
Free Camping,,,,,Australia,,-22.2431169,117.9585271,,,,,,,,,,,,
Maguk Campground,,,,,Australia,,-13.3042036,132.429193,,,,,,,,,,,,
Free Campingground,,,,,Australia,,-15.5949012,130.3188542,,,,,,,,,,,,
Free camp,Free camp sandy beach,,,,Australia,,-13.5364477,132.4912064,,,,,,,,,,,,
Gravel Stockpile Site,,Stuart Highway,,,Australia,,-13.0519555,131.1082614,,,,,,,,,,,,
Culgoa National Park Campground,NSW National Parks and Wildlife Service,,,,Australia,,-29.1728318,147.0000132,,,,yes,no,,,,,,,
Unknown,,,,,Australia,,-32.8001478,134.1996668,,,,,,,,,,,,
Unknown,,,,,Australia,,-19.3063015,146.7676231,,,,,,,,,,,,
Unknown,,,,,Australia,,-34.8042072,146.6160046,,,,,,,,,,,,
Unknown,,,,,Australia,,-34.7627459,146.6370385,,,,,,,,,,,,
Big Red Bash Campground,,,,,Australia,,-25.8756266,139.056335,,,,,,,,,,,,
Mount Isa Caravan Park,,,,,Australia,,-20.724561,139.5098716,,,,,,,,,,,,
Torbanlea Racecourse Campground,,Torbanlea Road,,,Australia,,-25.3454933,152.6006488,,,,,,,,,,,,
Cliff Head North s/c,,,,,Australia,,-29.5149027,114.9974475,,,,yes,no,,,,,,,
Frog Creek,,,,,Australia,,-16.9057106,125.7696,,,,,,,,,,,,
