post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
RAC Margaret River,RAC,,,,Australia,,-33.9344538,115.0778194,+61 8 9758 8227,,,,,,,,,,,yes
Lake Paradise,,,,,Australia,,-25.3574084,151.9167827,,,,,,,,,,,,
Mersey Bluff Caravan Park,,,,,Australia,,-41.1615123,146.354664,,,,,,,,,,,,
Pilbara Karratha Holiday Park,Discovery Parks,Rosemary Road,,,Australia,6714,-20.7531781,116.8140011,+61 1800 451 855,,https://www.discoveryholidayparks.com.au/caravan-parks/western-australia/pilbara-pilbara-karratha,,,,,,,,,
Treachery Camp,,,,,Australia,,-32.4477089,152.5157771,,,,,,,,,,,,
Reflections Seal Rocks - Holiday Park,Reflections Holidays,Kinka Road,,NSW,Australia,2423,-32.4334002,152.5235259,+61 2 4997 6164,SealRocks@reflectionsholidays.com.au,https://reflectionsholidays.com.au/parks/seal-rocks/,,,,,,,,yes,yes
Beachfront Tourist Park,,,,,Australia,,-25.2780434,152.8372004,,,,,,,,,,,,
Chinese Gardens,,,,,Australia,,-37.9296964,146.4494542,,,,,,,,,,,,
Merringtons Flat Camping Area,,,,,Australia,,-37.7622152,146.4010358,,,,,,,,,,,,
Junction Hut Camping Area,,,,,Australia,,-37.7584064,146.4019495,,,,,,,,,,,,
Unknown,,,,,Australia,,-37.7513402,146.4103966,,,,,,,,,,,,
Wilks Park,,,,,Australia,,-35.1005899,147.3713795,,,,,,,,,,,,
Unknown,,,,,Australia,,-38.0504425,140.7182887,,,,,,,,,,,,
Premier Caravan Park,,,,,Australia,,-21.1541189,149.1646458,,,,,,,,,,,,
The Park Mackay,,,,,Australia,,-21.1839121,149.1525082,,,,,,,,,,,,
O'Tooles Flat Camping Area,,,,,Australia,,-37.74797,146.4427086,,,,,,,,,,,,
Little O'Tooles Camping Area,,,,,Australia,,-37.7474568,146.440158,,,,,,,,,,,,
Sheepyard Flat,,,,,Australia,,-37.1940659,146.3466174,,,,,,,,,,,,
