post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Toowoomba Showgrounds Caravan Park,Royal Agricultural Society of Queensland,,,,Australia,,-27.5611235,151.8842098,,,https://www.toowoombashow.com.au/caravans/,,yes,,,,,,no,yes
Yadboro Flat,,,,,Australia,,-35.3402753,150.2173108,,,https://www.forestrycorporation.com.au/visit/forests/yadboro,,no,,,,,,yes,
48Hr RV Parking Self Contained,Shire of Bruce Rock,,,,Australia,,-31.8733575,118.1522168,,,,no,,,,,,,,
Dawsons Spring,NSW National Parks and Wildlife Service,,,,Australia,,-30.2810544,150.1641845,,,,,,,,,,,yes,yes
Minnivale Camground,Shire of Dowerin,,,,Australia,,-31.1386025,117.1854379,,,,yes,yes,,,,yes,,,
Dowerin Motel and Caravan Park,Dowerin Roadhouse,,,,Australia,,-31.195236,117.0329751,,,,,,,,,,,,
Doweriin Short Stay Accomodation and Caravan Park,,,,,Australia,,-31.1899662,117.0334304,,,,yes,yes,,,yes,,,yes,yes
Pingrup End of the Line Caravan Park and Outback Accomodation,Shire of Kent,,,,Australia,,-33.535096,118.5108841,,,,yes,,,,yes,yes,,yes,yes
Bournda National Park Field Studies Huts,Bournda Environmental Education Centre,,,,Australia,,-36.8139935,149.9334747,,,http://bourndaeec.nsw.edu.au/about-us/facilities/bournda-national-park-field-studies-huts/,,,,,,,,,
Kirup Tavern Caravan Park,,,,,Australia,,-33.7079945,115.8926843,,,,yes,yes,,,yes,,,yes,yes
Kendenup Agricutural Grounds Nature Based Campground,Kendenup Agricultural Grounds,,,,Australia,,-34.4908077,117.6138734,,,,yes,yes,,,yes,,,yes,yes
Leaning Marri,DBCA,,,,Australia,,-34.5385291,115.8751542,,,https://exploreparks.dbca.wa.gov.au/site/leaning-marri-campground,,,,,,,,,
Normans Beach,Small cravans ONLY,,,,Australia,,-34.9212457,118.2143291,,,https://www.albany.wa.gov.au/facilities/recreation/camping.aspx,yes,no,,,,,,yes,yes
East Bay,"Small area, steep narrow road. Unsuitable for large/vans.",,,,Australia,,-34.9380116,118.1796686,,,https://www.albany.wa.gov.au/facilities/recreation/camping.aspx,yes,no,,,,,,yes,no
Bettys Beach,Camping only end of April to mid February,,,,Australia,,-34.9369781,118.2081218,,,https://www.albany.wa.gov.au/facilities/recreation/camping.aspx,yes,no,,,,,,yes,
Unknown,,,,,Australia,,-35.153735,150.595994,,,,,,,,,,,,
Lake Burbury Campground,,,,,Australia,,-42.0961738,145.6753421,,,https://www.westcoast.tas.gov.au/community-and-recreation/camping,yes,,,,,,,,
The Gums Campground,Parks Victoria,Kinglake - Glenburn Road,,,Australia,,-37.470154,145.3929988,,,,,,,,,,,,
Camp site #2,,,,,Australia,,-28.0008202,152.2497198,,,,,,,,,,,,
main camp site,,,,,Australia,,-27.9964178,152.2534135,,,,,,,,,,,,
Barnett River Campsite,,,,,Australia,,-16.5388515,126.1253,,,,,,,,,,,,
Wavecrest Village & Tourist Park,,,,,Australia,,-33.9181094,120.1356369,,,,,,,,,,,,yes
Southern Cross Caravan Park,,,,,Australia,,-28.9963012,144.4108435,,,,yes,yes,,,,,,,yes
Gemtree Caravan Park,,Plenty Highway,,,Australia,,-22.9686297,134.2413064,+61 8 8956 9855,gemtree@gemtree.com.au,https://gemtree.com.au/,,,,,yes,,,yes,
Port Lincoln Tourist Park,,Hindmarsh Street,,,Australia,,-34.7280327,135.8829855,+61 8 8621 4444,,www.portlincolnaccomodation.com,,,,,,,,,
Surprise Creek Falls,,,,,Australia,,-13.4043303,130.7836719,,,,,,,,,,,,
Tjaynera Falls Campground,,,,,Australia,,-13.2499709,130.7450131,,,,,,,,,,,,
Broome's Gateway Caravan Park,,,,,Australia,,-17.8509828,122.454908,,,https://broomesgateway.com/,yes,yes,,,yes,,,,
Galena Bridge Rest Area North (Murchison River),,,,,Australia,,-27.8252698,114.6916123,,,,yes,no,,,,yes,,,
Yacka Caravan Park,,,,,Australia,,-33.5684457,138.4450403,,,,yes,yes,,,yes,yes,,,
Kulgun Glade,,,,,Australia,,-27.3721313,152.8903393,,,,,,,,,,,yes,no
Cub Scout Glade,,,,,Australia,,-27.3734263,152.8907523,,,,,,,,,,,yes,no
Chernobyl Glade,,,,,Australia,,-27.3727467,152.8911338,,,,,,,,,,,,
The Drum Glade,,,,,Australia,,-27.3736092,152.8915344,,,,,,,,,,,,
Native Dog Reserve,,,,,Australia,,-33.1317822,149.4312642,,,,no,no,,,,no,,yes,
Narrandera Caravan Park,,,,,Australia,,-34.7633271,146.5403659,,,https://www.narranderacaravanpark.com.au/web/,yes,yes,,,yes,yes,,yes,yes
Wagga Wagga Tourist Park,,,,,Australia,,-35.1535054,147.4777749,,,,,,,,,,,,
Airport Tourist Park,,,,,Australia,,-35.1489144,147.4652371,,,,,,,,,,,,
Unknown,,,,,Australia,,-34.617126,117.660106,,,,,,,,,,,,
Kalgan River Caravan Park and Chalets,,,,,Australia,,-34.9416459,117.9761829,,,,,,,,,,,,
East Baines Crossing,,,,,Australia,,-15.9714012,130.2954165,,,,,,,,,,,,
Drovers Rest,,,,,Australia,,-15.8886552,130.2000318,,,,,,,,,,,,
Badja Recreation Reserve - West,Snowy Monaro Shire Council,,,,Australia,,-36.1742833,149.348498,,,,yes,no,,,,no,,yes,yes
Starview Primitive Campsite,,,,,Australia,,-31.9073243,141.4423455,,,,yes,yes,,yes,no,,,yes,yes
Four Mile Campground,,,,,Australia,,-33.9226058,120.0386113,,,,,,,,,,,,
Goulburn South Caravan Park,,,,,Australia,,-34.7714261,149.6952701,,,https://www.southgoulburncaravanpark.com/,yes,yes,,,,,,yes,yes
Waterfalls Campground,"Waterfall Track, Percydale VIC 3478",Waterfall Track,,VIC,Australia,3478,-37.0985039,143.3671113,,,,yes,,,no,,,,yes,yes
Exmouth Overflow Camp Grounds,,,,,Australia,,-21.930193,114.1291859,,,,,,,,,,,,
Marrinup Townsite Camping Area,Ex POW campsite,,,,Australia,,-32.7022006,116.0279766,,,https://bookings.visitmandurah.com/marrinup-townsite-camping-grounds,yes,,,,,,,yes,yes
