post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Myall River Camp,,,,,Australia,,-32.6399479,152.1793984,,,,,,,,,,,,
Paradise Park,,,,,Australia,,-33.3583529,151.4828755,,,,,,,,,,,,
White Tree Bay Camping Area,,,,,Australia,,-32.5278584,152.3224127,,,,,,,,,,,,
Alex Beach Top Tourist Park,,,,,Australia,,-26.6665125,153.1031466,,,,yes,,,yes,yes,,,,
Boambee Waters Caravan Park,,,,,Australia,,-30.3538332,153.1013362,,,,,,,,,,,,
Four Star Caravan Village,,,,,Australia,,-27.1872173,153.0141915,,,,,,,,,,,,
Glasshouse Moutains Tourist Park,,,,,Australia,,-26.9410159,152.9576971,,,,,,,,,,,,
Little Mountain Home Park,,,,,Australia,,-26.7908721,153.1024351,,,,,,,,,,,,
Military Jetty Caravan Park,,,,,Australia,,-26.8334335,153.1184543,,,,,,,,,,,,
Pine Ridge Caravan Village,,,,,Australia,,-27.9253957,153.3750691,,,,,,,,,,,,
Tanawha Van Village,,,,,Australia,,-26.7123158,153.0364442,,,,,,,,,,,,
Oasis Caravan Park,,,,,Australia,,-29.0049649,134.7551336,,,,,,,no,yes,,,,
Opal Inn Caravan Park,,,,,Australia,,-29.0151175,134.7534441,,,,,,,,,,,,
Innamincka Town Common - West,,,,,Australia,,-27.7503264,140.7307615,,,,yes,yes,,,,,,,
Innamincka Town Common,,,,,Australia,,-27.7528191,140.7271704,,,,,,,,,,,,
Cassillis Bowling Club Camping Area,,,,,Australia,,-32.0095729,149.9788674,,,,,,,,yes,,,,
Eastern Tyers Camping Area,Parks Victoria,,,,Australia,,-37.9248045,146.3846357,,,https://www.parks.vic.gov.au/places-to-see/sites/eastern-tyers-camping-area,,,,,,,,,
Thompson Bridge Campground,,,,,Australia,,-37.9572688,146.4200114,,,,,,,,,,,,
K'Gari Camping Area,,,,,Australia,,-25.2459879,153.2458629,,,,,,,,,,,,
Caree Camping Ground,,,,,Australia,,-24.6986693,153.2534969,,,,,,,,,,,,
Diray Camping Ground,,,,,Australia,,-24.7852866,153.2605771,,,,,,,,,,,,
