post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Emu Creek Retreat,"Hello, and welcome to Emu Creek Retreat Camping and 4wd Park.  Emu Creek Retreat is a privately owned property, and a family run four wheel drive (4wd), camping and recreation park. Bookings are essential, and we highly recommend booking minimum 2 weeks i",Emu Creek Road,,NSW,Australia,2469,-28.826902,152.471633,+61 412 222 778,info@emucreek.com,https://emucreek.com/,,,,,,,,,
Walkerville Camping Reserve,,Loop Road,,,Australia,,-38.836946,146.0025659,+61 3 5663 2224,,http://www.walkervillecamping.com/,,,,,,,,,
NRMA Port Campbell Holiday Park,,Morris Street,,,Australia,,-38.6182593,142.9949315,,,https://www.nrmaparksandresorts.com.au/port-campbell/,yes,yes,,yes,,yes,,yes,yes
Unknown,,,,,Australia,,-35.5236778,138.1940495,,,,,,,,,,,,
Unknown,,,,,Australia,,-35.5132057,138.2186247,,,,,,,,,,,,
Ashmore Palms Holiday Village,,,,,Australia,,-27.9838682,153.3877955,,,https://www.ashmorepalmsgoldcoast.com.au/,,,,,,,,,
Southport Tourist Park,,,,,Australia,,-27.9543166,153.4075429,,,https://www.southporttouristpark.com.au/,,,,,,,,,
Blackheath Glen Tourist Park,,Prince Edward Street,,,Australia,,-33.634685,150.2922107,,,https://www.bmtp.com.au/blackheath-glen.html,yes,yes,,,yes,,,yes,yes
Great Lake Caravan Park,,,,,Australia,,-41.9805968,146.6763077,,,,,,,,,,,,
Oakwood Caravan Park,,Old Gin Gin Road,,,Australia,,-24.8523431,152.2923399,,,,,,,,no,,,,
Bivouac Bay,,,,,Australia,,-43.1190251,147.974017,,,,,,,,,,,yes,no
Bright Pine Valley Tourist Park,,,,,Australia,,-36.7309489,146.9713109,,,,,,,,yes,,,yes,
Bethune Park,,,,,Australia,,-42.5359315,146.7303888,,,,,,,,,,,,
Lighthouse Caravan Park,,,,,Australia,,-24.763242,152.4084874,,,,,,,,,,,,
Oaks Beach Caravan Park,,,,,Australia,,-24.7703408,152.4131747,,,,,,,,,,,,
Elliott Heads Holiday Park,,Lihs Street,,QLD,Australia,4670,-24.9202102,152.4911404,,,https://www.discoverbundaberg.com.au/elliott-heads-holiday-park,,,,,yes,,,,
Scone Caravan Park,,,,,Australia,,-32.0425707,150.866416,,,,yes,yes,,,,,,,
Absolute Waterfront Tourist Park,,,,,Australia,,-24.8339735,152.4720155,,,,,,,,,,,,
Unknown,,,,,Australia,,-25.1113477,152.5662752,,,,,,,,,,,,
Korumburra Tourist Park,,,,,Australia,,-38.4266925,145.8308326,,,korumburratouristpark.com.au,yes,,,yes,yes,no,,,
Midtown Caravan Park,,,,,Australia,,-24.8786923,152.3278993,,,,,,,,,,,,
Cane Village Holiday Park,,,,,Australia,,-24.8905376,152.3155639,,,,,,,,,,,,
Unknown,,,,,Australia,,-28.8857027,121.3282646,,,,,,,,,,,,
Adels Grove,,,,,Australia,,-18.6902749,138.5300932,,,https://www.adelsgrove.com.au/,,,,,,,,,
Kooljaman at Cape Leveque,,,,,Australia,,-16.3947949,122.928837,+61 8 9192 4970,,https://www.kooljaman.com.au/,,,,,,,,,
Middle Lagoon,,,,,Australia,,-16.7734454,122.5759636,,,,,,,,,,,,
Unknown,,,,,Australia,,-24.8993699,152.456061,,,,,,,,,,,,
Moore Park Beach Holiday Park,,,,,Australia,,-24.7164074,152.2788172,,,,,,,,,,,,
Cory's Fall,,,,,Australia,,-32.9669535,151.4197433,,,,,,,,,,,yes,yes
The Basin Camping Area,,,,,Australia,,-33.1041951,151.2312377,,,,yes,no,yes,,,,,yes,
Belongil Fields Caravan Park,,,,,Australia,,-28.640164,153.5915749,,,,,,,,,,,,
Discovery Parks Byron Bay,,Ewingsdale Road,,NSW,Australia,2481,-28.6354886,153.5944541,+61 2 6687 3700,byron@discoveryparks.com.au,https://discoveryparks.com.au,,,,,,,,,
Cub Camping Area,,,,,Australia,,-37.4155334,144.6909496,,,,,,,,,,,,
Cub Camping Area,,,,,Australia,,-37.4155553,144.6910789,,,,,,,,,,,,
Cub Camping Area,,,,,Australia,,-37.4154456,144.6912731,,,,,,,,,,,,
Leeton Caravan Park,,Yanco Avenue,,NSW,Australia,2705,-34.5665095,146.4123325,,,,,,,,,,,,
An Oasis Holiday Park,,,,,Australia,,-34.5658382,146.4240751,,,,,,,,,,,,
Macquarie Caravan Park,,,,,Australia,,-31.6945107,147.8397377,,,,,,,,,,,,
Nyngan Leisure and Van Park,,,,,Australia,,-31.5659814,147.2084823,,,,,,,,,,,,
Nyngan Riverside Tourist Park,,,,,Australia,,-31.5581105,147.181832,,,,,,,,,,,,
Wanderers Crossing River Retreat,,,,,Australia,,-34.1106228,141.9184654,,,,yes,yes,,,,yes,,yes,yes
Griffith Tourist Caravan Park,,,,,Australia,,-34.2969962,146.0463156,,,https://www.griffithtouristcaravanpark.com.au/,,,,,yes,,,,
Dunphys Campground,NSW National Parks and Wildlife Service,,,,Australia,,-33.7896421,150.2299213,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/dunphys-campground,yes,no,,,,,,yes,no
Greenhills Caravan Park,,,,,Australia,,-28.3441017,153.4019574,,,,,,,,yes,,,,
