post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Tyndale Caravan Park,,,,,Australia,,-29.5614791,153.1495022,,,https://tyndaleroadhouse.com.au,,,,,,,,,
Woody Head Campground,,,,,Australia,,-29.3656071,153.3722785,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/Woody-Head-campground,yes,yes,,yes,no,yes,,yes,yes
Smoky Cape Campground,,,,,Australia,,-30.9288514,153.0775461,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/Smoky-Cape-campground,,,,,,,,,
Delicate Nobby Campground - Goolawah Res,,,,,Australia,,-31.260454,152.9684346,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/Delicate-campground,,,,,,,,,
Racecourse Headland Campground - Goolawah Res,,,,,Australia,,-31.2495551,152.9604298,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/Racecourse-campground,,,,,,,,,
Heritage Park Rest Area,,,,,Australia,,-29.6628437,151.7763663,,,,yes,no,,,,,,,
Basket Swamp Camping Area,,,,,Australia,,-28.909999,152.1537639,,,,,,,,,,,,
Old Bonalbo Pioneers Park,,,,,Australia,,-28.6429389,152.5971918,,,,yes,no,,,,,,,
Tabulam Race Track,,,,,Australia,,-28.9076148,152.5534466,,,,yes,yes,,,yes,,,yes,yes
Sheepstation Creek Campground - Walk-In Campsites,,,,,Australia,,-28.4122989,153.0220238,,,,,,,,,,,,
Bellbird Campground,,,,,Australia,,-29.47399,152.3152689,,,,,,,,,,,,
Dandahra Creek RA,,,,,Australia,,-29.4801565,152.4501243,,,,,,,,,,,,
Snowy Range Rest Area,,,,,Australia,,-30.4254617,152.3244409,,,,no,no,,no,no,no,,yes,yes
Myall Creek Rest Area,,,,,Australia,,-29.775,150.71694,,,,no,,,,,,,,
Wollomombi Campground,NSW National Parks and Wildlife Service,,,,Australia,,-30.5315516,152.0273951,,,,yes,no,,,,,,,
Walcha East Rest Area,,,,,Australia,,-31.0034827,151.6300768,,,,no,,,,,,,,
Lakeside Caravan Park - Lake Keepit State Park,,,,,Australia,,-30.8967353,150.5059558,,,,,,,,,,,,
Mcdonalds Hole Road Rest Area,,,,,Australia,,-33.06583,149.93556,,,,,,,,,,,,
Copeton Waters State Park,Reflections Holidays,,,,Australia,,-29.9222577,150.9406515,,,,,,,,,,,yes,yes
Bakers Shaft Reserve,,,,,Australia,,-33.60944,149.01194,,,,,,,,,,,,
Carcoar Dam,,,,,Australia,,-33.6114139,149.1811066,,,,,,,,,,,,
Chifley Dam Camping Area,,,,,Australia,2795,-33.561058,149.6314978,,,https://www.bathurstregion.com.au/members/chifley-dam-primitive-camping-area/,,,,,,,,,
Bilpin Reserve Rest Area,,,,,Australia,,-33.4960417,150.517721,,,,yes,no,,,,,,no,yes
Wombeyan Caves Campground,,,,,Australia,,-34.3039533,149.9711458,,,,yes,yes,,,,,,,
Tooleybuc Caravan Park,,,,,Australia,,-35.0295175,143.3368476,,,,,,,,,,,,
Trentham Cliffs Caravan Village,,,,,Australia,,-34.2249555,142.2458364,,,,,,,,,,,,
Unknown,,,,,Australia,,-34.5789187,150.253398,,,,,,,,,,,,
Edrom Road RA,,,,,Australia,,-37.1908285,149.8498546,,,,,,,,,,,,
Congo Point Campground - Eurobodalla NP,,,,,Australia,,-35.9547147,150.1580521,,,,,,,,,,,,
Whittakers Creek,,,,,Australia,,-36.1285783,150.0931393,,,,,,,,,,,,
Benandarah Rest Area,,,,,Australia,,-35.6529066,150.2356849,,,,,,,,,,,,
Geehi Flats Campground,NSW National Parks and Wildlife Service,,,,Australia,,-36.3801314,148.1780833,,,,yes,no,,,,,,,
Bunyip Hole Reserve,,,,,Australia,,-34.5604043,145.9902893,,,,,,,,,,,,
Cooey Point Reserve,,,,,Australia,,-34.4765268,145.3221699,,,,,,,,,,,,
Frampton Rotary Park - Cunjigong Creek Rest Area,,,,,Australia,,-34.702481,147.9416531,,,,no,,,,,,,yes,yes
Yerong Creek Recreation Ground,,,,,Australia,,-35.3864955,147.0676207,,,,,yes,,yes,yes,,,yes,yes
Oura Beach,,,,,Australia,,-35.12234,147.5428663,,,,,,,,,,,,
Berry Jerry Rest Area,,,,,Australia,,-35.0604979,147.0535747,,,,yes,no,,,,,,,
Sandigo Rest Area,,,,,Australia,,-34.921199,146.647042,,,,,,,,,,,,
Kywong Rest Area,,,,,Australia,,-34.98583,146.73917,,,,,,,,,,,,
Airport Tourist Park,,,,,Australia,,-35.1484351,147.4657556,,,,,,,,,,,,
Shanty Reserve,,,,,Australia,,-35.1112907,147.520692,,,,,,,,,,,,
John Oxley Rest Area,,,,,Australia,,-31.22667,148.45694,,,,,,,,,,,,
Bell River Rest Area,,,,,Australia,,-32.9115036,148.8906573,,,,,,,,,,,,
Caves Turnoff Rest Area,,,,,Australia,,-32.6227687,148.9477118,,,,,,,,,,,,
Meadow Glen Rest Area,,,,,Australia,,-31.5586553,145.1871737,,,,yes,no,,,,no,,yes,yes
Ponto Falls,,,,,Australia,,-32.4657713,148.8225089,,,,,,,,,,,,
Rocky Creek Mill,,,,,Australia,,-30.7158421,149.1455537,,,,,,,,,,,,
Devils Elbow,,,,,Australia,,-32.2275,148.60806,,,,,,,,,,,,
Wooli Rest Area,,,,,Australia,,-29.7839603,153.0083212,,,,yes,no,,,,,,,
Condong RA,,,,,Australia,,-28.3125361,153.4355774,,,,,,,,,,,,
Border RA,,,,,Australia,,-37.3945148,149.6757257,,,,,,,,,,,,
Country Road Caravan Park,Family Parks,,,,Australia,,-30.6489121,151.4925446,,,,,,,,,,,,
Cargelligo Weir,,,,,Australia,,-33.2014433,146.4535262,,,,,,,,,,,,
Bush Tucker Inn,,,,,Australia,,-29.0097354,145.7125871,,,,,,,,,,,,
Humbug Creek RA,,,,,Australia,,-33.517946,147.1469184,,,,,,,,,,,,
Lilydale Falls Camping Area,,,,,Australia,,-41.2298087,147.2098882,,,,,,,,,,,,
Northeast Park,,,,,Australia,,-41.1658336,147.522951,,,,,,,,,,,,
Blackmans Lagoon Camping Area - Waterhouse Cons Area,,,,,Australia,,-40.9128431,147.5954848,,,,yes,no,,,,,,yes,yes
Big Waterhouse Lake Camping Area - Waterhouse Cons Area,,,,,Australia,,-40.8922407,147.6158499,,,,,no,,,,,,yes,yes
South Croppies Point Camping Area - Waterhouse Cons Area,,,,,Australia,,-40.8644746,147.5924166,,,,no,no,,,,,,yes,
Mathers Campground - Waterhouse Cons Area,,,,,Australia,,-40.8275584,147.6688609,,,,yes,no,,,,,,yes,yes
Village Green Campground - Waterhouse Cons Area,,,,,Australia,,-40.8265522,147.6609779,,,,yes,no,,,,,,yes,yes
Ransons Beach Camping Area - Waterhouse Cons Area,,,,,Australia,,-40.8403096,147.6882029,,,,no,no,,,,,,yes,yes
Branxholm Camping Ground,,,,,Australia,,-41.1678906,147.737954,,,,,yes,,yes,,,,yes,yes
Derby Works Depot,,,,,Australia,,-41.1496253,147.8046821,,,,,,,,,,,,
Petal Point Campground,,,,,Australia,,-40.7775454,147.9494282,,,,,,,,,,,,
Deep Creek Campground - Mt William NP,,,,,Australia,,-40.9698159,148.3116931,,,https://www.campingtasmania.com/deep-creek-camping-area.html,yes,no,yes,,,,,yes,yes
Musselroe Bay - Musselroe Bay Cons Area,,,,,Australia,,-40.8352667,148.1775278,,,,yes,no,,,,,,yes,yes
Weldborough Hotel,,,,,Australia,,-41.1944142,147.9049224,,,,,,,,,,,,
Bay Of Fires Conservation Area,,,,,Australia,,-41.0620098,148.2914805,,,,,,,,,,,,
Diana's Basin - St Helens Point State Rec Area,,,,,Australia,,-41.3709096,148.2925792,,,,,,,,,,,,
River and Rocks Campground,,,,,Australia,,-42.0869837,148.2325133,,,,,,,,,,,,
Lake Leake Campground,,,,,Australia,,-42.0091992,147.7976209,,,,,,,,,,,,
Little Swanport Conservation Area,,,,,Australia,,-42.3319224,147.9397411,,,,,,,,,,,,
Triabunna Caravan Park,,Vicary Street,,TAS,Australia,7190,-42.5083381,147.9111492,+61 3 6257 3575,,mariagateway.com,,,,,,,,,
Campbell Town Recreation Ground,,,,,Australia,,-41.9247492,147.4938063,,,,,,,,,,,,
Conara Roadside Park,,,,,Australia,,-41.8300414,147.4389481,,,,,,,,,,,,
Lower Liffey Reserve,,,,,Australia,,-41.6827631,146.7817081,,,,,,,,,,,,
Oatlands Roadside Rest Area,self contained only,,,,Australia,,-42.3001699,147.3769604,,,,no,no,,,,,,no,yes
Jonah Bay Campground - Arthurs Lake Rec Area,,,,,Australia,,-41.9585618,146.9024304,,,,,,,,,,,,
Pumphouse Bay Campground - Arthurs Lake Recreation Area,,,,,Australia,,-41.9850741,146.8611922,,,,,,,,,,,,
Mt Blackwood Lookout,,,,,Australia,,-41.8158814,146.8899497,,,,,,,,,,,,
Cowpaddock Bay Campground - Arthurs Lake Rec Area,,,,,Australia,,-41.9359731,146.8962098,,,,,,,,,,,,
Pub With No Beer Rest Area,,,,,Australia,,-42.3876871,147.0440105,,,,,,,,,,,,
Primrose Sands RSLA Club,,,,,Australia,,-42.8995614,147.672852,,,,,,,,,,,,
Blackburn Creek Rest Area,,,,,Australia,,-42.1728506,146.904631,,,,,,,,,,,,
Coast Care Project Rest Area,,,,,Australia,,-43.139773,146.9721596,,,,,,,,,,,,
Franklin Foreshore Reserve,,,,,Australia,,-43.0922005,147.0098181,,,,,,,,,,,,
Boltons Green Campground - Southwest NP,,,,,Australia,,-43.5828775,146.8950995,,,,yes,no,,,,,,yes,yes
The Neck Campground,,,,,Australia,,-43.2910163,147.3286887,,,,,,,,,,,,
Cockle Creek Campground - Recherche Bay Nature Rec Area,,,,,Australia,,-43.5787908,146.8866151,,,,yes,no,,,,,,yes,yes
Finns Beach Campground - Recherche Bay Nature Rec Area,Parks and Wildlife,,,,Australia,,-43.5485469,146.887214,,,,,no,,,,,,yes,yes
Lake Burbury Foreshore,,,,,Australia,,-42.0737575,145.6384615,,,,,,,,,,,,
Bradys Lake,,,,,Australia,,-42.231701,146.4962747,,,,,,,,,,,,
Hellyer Gorge Rest Area,,,,,Australia,,-41.2734664,145.6149763,,,,,,,,,,,,
Nive River Rest Area,,,,,Australia,,-42.2986066,146.4583003,,,,,,,,,,,,
South Esk Lions Park,,,,,Australia,,-41.5097417,147.0585255,,,,,,,,,,,,
Hagley Rest Area,,,,,Australia,,-41.5256426,146.8989464,,,,,,,,,,,,
Bronte Lagoon Causeway,,,,,Australia,,-42.1798235,146.5005464,,,,,,,,,,,,
Deloraine East Overnight Park,,,,,Australia,,-41.5223632,146.6607135,,,,,,,,,,,,
Wivenhoe Showgrounds,,,,,Australia,,-41.0686826,145.930016,,,,,,,,,,,,
Penguin Beachside Tourist Park,,Johnsons Beach Road,,TAS,Australia,7316,-41.1066254,146.066539,,,,,,,,,,,,
Lake Gairdner,,,,,Australia,,-41.4829712,146.0593173,,,,,,,,,,,,
Black River Campground,,,,,Australia,,-40.8435289,145.3169776,,,,yes,no,,,,,,yes,yes
Sundown Point State Reserve - Nelson Bay,,,,,Australia,,-41.1178947,144.6725341,,,,,,,,,,,,
Rocky Cape Caravan Park,,,,,Australia,,-40.8858058,145.4644747,,,,,,,,,,,,
Springlawn Campground - Narawntapu NP,,,,,Australia,,-41.147799,146.6026384,,,,,,,,yes,,,yes,
Beechford Campground,,,,,Australia,,-41.029998,146.949996,,,,,,,,,,,,
Horseyards Campground - Narawntapu NP,,,,,Australia,,-41.1541248,146.6088067,,,,,,,,,,,,
Rose Bay Park,,,,,Australia,,-41.2942294,146.9728159,,,,,,,,,,,,
Najada Rockhole,,,,,Australia,,-31.7455589,128.6003806,,,,no,,,,,,,,
Hearder Hill Rest Area,,,,,Australia,,-31.7676354,128.5286374,,,,yes,,,,,,,,
Jillah Rockhole Rest Area,,,,,Australia,,-31.8399664,128.1302544,,,,yes,no,,,,,,,
Boolaboola Rest Area,,,,,Australia,,-31.89302,127.6616038,,,,no,,,,,,,,
Carlabeencabba Rockhole Rest Area,,,,,Australia,,-31.921017,127.5194357,,,,no,,,,,,,,
Olwolgin Bluff Rest Area,,,,,Australia,,-31.945736,126.7330776,,,,no,,,,,,,,
Moonera Tank Rest Area,,,,,Australia,,-31.9904967,126.5470853,,,,,,,,,,,,
Observatory Turnoff Rest Area,,,,,Australia,,-32.003399,126.2772274,,,,no,,,,,,,,
Jillbunya Rockhole,,,,,Australia,,-32.174151,125.6738347,,,,,,,,,,,,
Baxter Rest Area,,,,,Australia,,-32.3576585,124.788126,,,,yes,no,,,,yes,,,
90 Mile Sign Rest Area,,,,,Australia,,-32.4530833,123.954761,,,,no,,,,,,,,
