post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Flat Rock Tent Park,,,,,Australia,,-28.8439878,153.6030343,,,https://www.flatrockcamping.com.au/,,,,,,,,,
Parker Hill Campsite,,,,,Australia,,-38.8469171,143.558309,,,https://www.parks.vic.gov.au/places-to-see/parks/great-otway-national-park/where-to-stay/parker-hill-campground,,,,,,,,,
Milang Lakeside Caravan Park,,,,,Australia,,-35.4064587,138.9749519,,,,,,,,,,,,
Arrawarra Caravan Park,,,,,Australia,,-30.0600048,153.1959034,,,,,,,,,,,,
Mullaway Beachside Caravan Park,,,,,Australia,,-30.0794997,153.1993378,,,,,,,,,,,,
1770 Camping Ground,,,,,Australia,,-24.1618503,151.8848174,,,,,,,,,,,,
Crescent Head Holiday Park,,,,,Australia,,-31.1882085,152.9783638,,,https://www.macleayvalleycoastholidayparks.com.au/crescent-head/,yes,yes,,,yes,yes,,yes,yes
Thorneside Mobile Home Park,,,,,Australia,,-27.4863359,153.2017841,,,,,,,,,,,,
Unknown,,,,,Australia,,-32.0654371,152.5321986,,,,,,,,,,,,
Coral Tree Lodge Tourist Park,,,,,Australia,,-34.9167654,150.7331889,,,,,,,,,,,,
Anglers Rest Caravan Park,,,,,Australia,,-34.9069306,150.7347175,,,,,,,,,,,,
Holiday Haven Currarong,,,,,Australia,,-35.0173123,150.8182645,,,https://www.holidayhaven.com.au/currarong/,,,,,,,,,
Myola Tourist Park,,,,,Australia,,-35.0233046,150.6739631,,,,,,,,,,,,
Jervis Bay Holiday Park,,Woollamia Road,,,Australia,,-35.0231323,150.6617417,+61 2 4441 5046,,https://jervisbayholidaypark.com.au/,,,,,yes,yes,,,
White Sands Tourist Park,,,,,Australia,,-35.0426722,150.6755612,,,,,,,,,,,,
Huskisson Beach Tourist Park,,,,,Australia,,-35.0467414,150.6746467,,,,,,,,,,,,
Queanbeyan Riverside Caravan Park,,,,,Australia,,-35.3498534,149.2372403,,,,,,,,,,,,
Budgewoi Tourist Park,,,,,Australia,,-33.2342505,151.5669891,,,,,,,,,,,,
Teraglin Lakeshore Home Village,,,,,Australia,,-33.1716575,151.5714759,,,,,,,,,,,,
Sunnylake Shores,,,,,Australia,,-33.2095964,151.5603752,,,,,,,,,,,,
Swansea Gardens Lakeside Holiday Park,,,,,Australia,,-33.0737754,151.6345593,,,,,,,,,,,,
Wangi Point Lakeside Holiday Park,,,,,Australia,,-33.0742797,151.6102767,,,,,,,,,,,,
Seven Mile Beach,,,,,Australia,,-34.7726504,150.8053627,,,,,,,,,,,,
Discovery Parks - Gerroa,,Crooked River Road,,NSW,Australia,2534,-34.7690078,150.8067789,,,,,,,,,,,,
Bremer Bay Caravan & Camping Park,,Bremer Bay Road,,WA,Australia,6338,-34.3928178,119.3910771,+61 8 9837 4018,bremercarapark1@westnet.com.au,https://bremerbaycaravanpark.com.au/,,,,,yes,,,,
Crowdy Gap Campground,NSWNPWS,,,,Australia,,-31.8331859,152.7300851,,,https://www.nationalparks.nsw.gov.au/camping-and-accommodation/campgrounds/crowdy-gap-campground,yes,yes,,,,,,,
Black Range Camp Ground,,,,,Australia,,-33.7551179,150.047944,,,,yes,,,,,,,yes,
Gordon Country,,,,,Australia,,-27.9759525,152.3172607,,,,,,,no,,,,,
Unknown,,,,,Australia,,-23.8753052,151.238546,,,,,,,,,,,,
Shoal Bay Holiday Park,,,,,Australia,,-32.7199337,152.170521,,,,,,,,,,,yes,
Soldiers Point Holiday Park,,,,,Australia,,-32.7004273,152.0639413,,,,,,,,yes,,,yes,
Atkinson Dam Holiday Park,,,,,Australia,,-27.4206508,152.4526433,,,,,,,,,,,,
Atkinson Dam Waterfront Caravan Park,,,,,Australia,,-27.415589,152.4374378,,,,,,,,,,,,
Bayway Relocatable Home Village,,,,,Australia,,-32.8618613,151.798317,,,,,,,,,,,,
Charlie's Place Caravan Park,,,,,Australia,,-33.4150692,151.1564021,,,,,,,,,,,,
Greenmans Valley Caravan and Recreation Park,,,,,Australia,,-33.4637276,151.1653073,,,,,,,,,,,,
Scout Camp Kariong,,,,,Australia,,-33.4446036,151.2742435,,,,,,,,,,,,
Blue Range Recreation Area,,,,,Australia,,-35.2896508,148.8758782,,,https://actparks.bookeasy.com/blue-range-campground#/accom/100212,,,,,,,,yes,yes
North Head Campground,,,,,Australia,,-35.9025837,150.1479224,,,,,,,,,,,,
Agnes Creek Rest Area,,,,,Australia,,-26.6366297,133.2793152,,,,,,,,,,,,
Forbes Lions Park,,,,,Australia,,-33.3897101,148.0050289,,,,,,,,,,,,
The Forest Camp,Parks Victoria,,,,Australia,,-36.2216241,146.1789795,,,,yes,no,,no,,,,yes,yes
Tuggerah Shores Van Park,,,,,Australia,,-33.279923,151.4800626,,,,,,,,,,,,
Norah Head Tourist Park,,,,,Australia,,-33.2846058,151.5658376,,,,,,,,,,,,
Holiday Haven Tourist Park,,,,,Australia,,-34.9076268,150.7638826,,,,,,,,,,,,
Belmont Bayview Park,,,,,Australia,,-33.030436,151.6550486,,,,,,,,,,,,
Blacksmiths Lakeside Holiday Park,,,,,Australia,,-33.0809778,151.6538129,,,,yes,yes,,,,,,,
Belmont Pines Lakeside Holiday Park,,,,,Australia,,-33.0498621,151.6506844,,,,,,,,,,,,
Sunstrip Park,,,,,Australia,,-33.081459,151.6463797,,,,,,,,,,,,
Horse Rock Campground,,,,,Australia,,-34.8079524,135.8618979,,,,,,,,,,,,
Lake Somerset Holiday Park,Escape Holiday Parks,Kirkleagh Road,,QLD,Australia,4515,-27.021531,152.5614898,,,,,,,,yes,,,yes,
Alivio Tourist Park,,,,,Australia,,-35.2569876,149.1051462,+61 2 6247 5466,,https://aliviogroup.com.au/,yes,yes,,,,,,no,yes
BIG4 Stanley Holiday Park,,Wharf Road,,,Australia,,-40.7633556,145.2942141,+61 3 6458 1266,,https://www.big4.com.au/caravan-parks/tas/devonport-cradle-mountain-great-western-tiers/stanley-holiday-park,yes,yes,,,yes,yes,,yes,yes
Unknown,,,,,Australia,,-25.1657006,153.2828818,,,,,,,,,,,,
Unknown,,,,,Australia,,-25.1648653,153.2824961,,,,,,,,,,,,
Wayatinah Lakeside Caravan Park,,,,,Australia,,-42.3856315,146.505964,,,http://www.wayatinah.net/,,,,,,,,,
Narrabundah Long Stay Caravan Park,,,,,Australia,,-35.3481039,149.1525332,,,,,,,,,,,,
Aspen Lodge Caravan Park,,Lawson Street,,,Australia,,-36.3979984,145.3611061,+61 3 5825 2245,,,,,,,,,,,
Crows Nest Tourist Park,Gerald Searle,New England Highway,,QLD,Australia,4355,-27.2722174,152.0549709,+61 7 4698 1269,,https://crowsnestcaravanpark.com.au/,yes,hot,yes,yes,yes,yes,,yes,yes
Riverlands Caravan Park,,,,,Australia,,-33.4402795,151.0585678,,,,,,,,,,,,
Macquarie Heads Campground,,,,,Australia,,-42.2195708,145.2354773,,,https://www.westcoast.tas.gov.au/camping,yes,no,,,,,,yes,yes
Pebbly Beach,"23 tent spots with barbecue facilities, carpark, drinking water, showers, toilets",,,,Australia,,-35.6070181,150.3260654,,,https://www.nationalparks.nsw.gov.au/,,,,,,,,yes,
Halls Gap Caravan Park,,,,,Australia,,-37.139454,142.5172286,,,https://hallsgapcaravanpark.com.au/,,,,,,,,,
Bongaree Caravan Park,City of Moreton Bay,,,,Australia,,-27.0807868,153.1589919,,,,,,,,,,,,
Big4 Lake Macquarie Monterey Tourist Park,,,,,Australia,,-33.1505579,151.5411494,,,,,,,,,,,,
Warri Camping Reserve,,Kings Highway,,,Australia,2622,-35.3442165,149.7377624,,,,yes,no,,,,,,yes,yes
Burrum Heads Beachfront Caravan Park.,,Burrum Street,,QLD,Australia,4659,-25.1841192,152.6123276,,,https://www.beachfronttouristparks.com.au/our-parks/burrum-heads-caravan-park,,,,,yes,yes,,,
Torrumbarry Weir Holiday Park,,,,,Australia,,-35.9431967,144.4635008,,,,,,,,,,,,
Pebble Beach - Murray River Reserve,Parks Victoria,,,,Australia,,-35.9295435,147.7096538,,,,no,,,,,,,yes,yes
Yarrawonga Holiday Park,,,,,Australia,,-36.0120337,145.9934945,,,,,,,,,,,,
Wood Wood Caravan Park,,,,,Australia,,-35.105502,143.34411,,,http://woodwoodcaravanpark.com.au/,,,,,,customers,,,
Big 4 Holiday Park Swan Hill,,,,,Australia,,-35.324051,143.5532293,,,https://www.big4.com.au/caravan-parks/vic/murray/swan-hill-holiday-park,,,,,,,,,
Moama Waters,,,,,Australia,,-36.1114127,144.7959383,,,https://www.moamawaters.com.au/index.html,,,,,,,,,
Maidens Inn Moama,Discovery Parks,,,,Australia,,-36.1187706,144.774068,,,https://www.discoveryholidayparks.com.au/caravan-parks/new-south-wales/murray-maidens-inn-moama/info#content,,,,,,,,,
Cohuna Waterfront Holiday Park,G'Day Parks,,,,Australia,,-35.8047515,144.2271109,,,https://www.cwhp.com.au/,,,,,,,,,
Barham Caravan and Tourist Park,,,,,Australia,,-35.6327662,144.1291822,,,http://www.barhamcaravan.com.au/,,,,,,,,,
Murray Riverside Village,,,,,Australia,,-35.8467294,145.595009,,,,,,,,,,,,
