post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Yarra Valley Parklane Caravan Park,,Don Road,,,Australia,,-37.682685,145.5461527,,,,,,,,,,,,
Gunbower 5,,,,,Australia,,-35.6635984,144.129709,,,,,,,,,,,,
Gunbower 1,,,,,Australia,,-35.6631009,144.1274523,,,,,,,,,,,,
Gunbower 6,,,,,Australia,,-35.6666441,144.1322428,,,,,,,,,,,,
Gunbower 7,,,,,Australia,,-35.6668562,144.1329902,,,,,,,,,,,,
Gunbower 8,,,,,Australia,,-35.6668068,144.1347533,,,,,,,,,,,,
Gunbower 9,,,,,Australia,,-35.6678179,144.1359889,,,,,,,,,,,,
Gunbower 2,,,,,Australia,,-35.6627159,144.1287112,,,,,,,,,,,,
Gunbower 3,,,,,Australia,,-35.6628016,144.1290491,,,,,,,,,,,,
Gunbower 14,,,,,Australia,,-35.6839572,144.1478736,,,,,,,,,,,,
Gunbower 13,,,,,Australia,,-35.6842971,144.1479523,,,,,,,,,,,,
Gunbower 11,,,,,Australia,,-35.6854701,144.1478821,,,,,,,,,,,,
Gunbower 10,,,,,Australia,,-35.6849283,144.1458839,,,,,,,,,,,,
Gunbower 12,,,,,Australia,,-35.6847647,144.14782,,,,,,,,,,,,
Gunbower 16,,,,,Australia,,-35.6814808,144.1494186,,,,,,,,,,,,
Gunbower 15,,,,,Australia,,-35.6827532,144.1481097,,,,,,,,,,,,
Toompine Rest Area,Quilpie Shire Council,,,,Australia,,-27.2219307,144.3677068,,,,yes,yes,,,yes,,,,yes
Sovereign Bend,,,,,Australia,,-35.653614,144.1511866,,,,,,,,,,,,
Unknown,,,,,Australia,,-35.6528597,144.151314,,,,,,,,,,,,
Unknown,,,,,Australia,,-35.6496832,144.1544126,,,,,,,,,,,,
Unknown,,,,,Australia,,-35.6480445,144.1542785,,,,,,,,,,,,
Unknown,,,,,Australia,,-35.646446,144.1534706,,,,,,,,,,,,
Unknown,,,,,Australia,,-35.6565223,144.1535222,,,,,,,,,,,,
Meentheena Veterans Retreat,,,,,Australia,,-21.2665676,120.4554883,,,,,,,,,,,,
Tranquility Pool,,,,,Australia,,-21.2703669,120.4701331,,,,,,,,,,,,
The Paperbarks,,,,,Australia,,-21.2785375,120.4646426,,,,,,,,,,,,
Henry's Camp,,,,,Australia,,-37.3181943,142.0367315,,,,,,,,,,,,
